home_elo,away_elo,elo_diff,elo_sum,home_form_points,home_form_points_avg,home_form_goals_scored,home_form_goals_scored_avg,home_form_goals_conceded,home_form_goals_conceded_avg,home_form_goal_diff_avg,home_form_wins,home_form_draws,home_form_losses,home_form_win_rate,home_matches_played,away_form_points,away_form_points_avg,away_form_goals_scored,away_form_goals_scored_avg,away_form_goals_conceded,away_form_goals_conceded_avg,away_form_goal_diff_avg,away_form_wins,away_form_draws,away_form_losses,away_form_win_rate,away_matches_played,form_diff,goals_scored_diff,goals_conceded_diff,h2h_matches,h2h_wins_team1,h2h_draws,h2h_wins_team2,h2h_goals_team1,h2h_goals_team2,h2h_goals_avg_team1,h2h_goals_avg_team2,h2h_win_rate_team1,tournament_importance,is_world_cup,is_knockout,same_confederation,home_conf_strength,away_conf_strength,home_score,away_score,total_goals,goal_diff,outcome,outcome_code,match_date,home_team,away_team,tournament
1500,1855,-355,3355,16,1.6,14.0,1.4,8.0,0.8,0.6,4,4,2,0.4,10,20,2.0,13.0,1.3,6.0,0.6,0.7,6,2,2,0.6,10,-0.3999999999999999,0.09999999999999987,0.20000000000000007,7,3,1,3,6.0,5.0,0.8571428571428571,0.7142857142857143,0.5,0.75,0,0,1,0.4,0.4,2,2,4,0,draw,1,2010-01-06,Kuwait,Australia,AFC Asian Cup qualification
1500,1500,0,3000,8,0.8,8.0,0.8,14.0,1.4,-0.6,2,2,6,0.2,10,16,1.6,11.0,1.1,12.0,1.2,-0.1,4,4,2,0.4,10,-0.8,-0.30000000000000004,0.19999999999999996,3,1,1,1,3.0,3.0,1.0,1.0,0.5,0.75,0,0,1,0.4,0.4,1,1,2,0,draw,1,2010-01-06,Lebanon,Vietnam,AFC Asian Cup qualification
1500,1870,-370,3370,15,1.5,15.0,1.5,20.0,2.0,-0.5,4,3,3,0.4,10,14,1.4,12.0,1.2,13.0,1.3,-0.1,4,2,4,0.4,10,0.10000000000000009,0.30000000000000004,0.7,1,0,0,1,0.0,6.0,0.0,6.0,0.0,0.75,0,0,1,0.4,0.4,1,3,4,-2,away_win,2,2010-01-06,Singapore,Iran,AFC Asian Cup qualification
1500,1670,-170,3170,16,1.6,14.0,1.4,8.0,0.8,0.6,4,4,2,0.4,10,9,0.9,9.0,0.9,16.0,1.6,-0.7,2,3,5,0.2,10,0.7000000000000001,0.4999999999999999,-0.8,4,0,3,1,2.0,3.0,0.5,0.75,0.375,0.75,0,0,1,0.4,0.4,0,0,0,0,draw,1,2010-01-06,Thailand,Jordan,AFC Asian Cup qualification
1500,1500,0,3000,6,0.6,8.0,0.8,18.0,1.8,-1.0,1,3,6,0.1,10,9,0.9,12.0,1.2,17.0,1.7,-0.5,2,3,5,0.2,10,-0.30000000000000004,-0.3999999999999999,0.10000000000000009,3,3,0,0,9.0,1.0,3.0,0.3333333333333333,1.0,0.75,0,0,0,0.3,0.4,1,0,1,1,home_win,0,2010-01-06,United Arab Emirates,Malaysia,AFC Asian Cup qualification
1500,1895,-395,3395,10,1.0,9.0,0.9,21.0,2.1,-1.2,3,1,6,0.3,10,20,2.0,24.0,2.4,9.0,0.9,1.5,6,2,2,0.6,10,-1.0,-1.5,1.2000000000000002,3,0,0,3,1.0,5.0,0.3333333333333333,1.6666666666666667,0.0,0.75,0,0,1,0.4,0.4,2,3,5,-1,away_win,2,2010-01-06,Yemen,Japan,AFC Asian Cup qualification
1500,1500,0,3000,10,1.0,7.0,0.7,14.0,1.4,-0.7,3,1,6,0.3,10,24,2.4,24.0,2.4,7.0,0.7,1.7,7,3,0,0.7,10,-1.4,-1.7,0.7,2,0,1,1,2.0,4.0,1.0,2.0,0.25,0.3,0,0,0,0.45,0.3,0,2,2,-2,away_win,2,2010-01-07,Rwanda,Ivory Coast,Friendly
1500,1875,-375,3375,20,2.0,17.0,1.7,5.0,0.5,1.2,6,2,2,0.6,10,21,2.1,12.0,1.2,4.0,0.4,0.8,6,3,1,0.6,10,-0.10000000000000009,0.5,0.09999999999999998,1,1,0,0,3.0,2.0,3.0,2.0,1.0,0.3,0,0,0,0.45,0.4,4,2,6,2,home_win,0,2010-01-09,Zambia,South Korea,Friendly
1500,1725,-225,3225,7,0.7,7.0,0.7,15.0,1.5,-0.8,2,1,7,0.2,10,20,2.0,15.0,1.5,5.0,0.5,1.0,6,2,2,0.6,10,-1.3,-0.8,1.0,2,0,1,1,1.0,3.0,0.5,1.5,0.25,0.3,0,0,1,0.45,0.45,1,3,4,-2,away_win,2,2010-01-09,Kenya,Cameroon,Friendly
1790,1500,290,3290,16,1.6,12.0,1.2,6.0,0.6,0.6,4,4,2,0.4,10,17,1.7,11.0,1.1,6.0,0.6,0.5,4,5,1,0.4,10,-0.09999999999999987,0.09999999999999987,0.0,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,1,0.45,0.45,1,2,3,-1,away_win,2,2010-01-09,Tunisia,Gambia,Friendly
1500,1500,0,3000,12,1.2,8.0,0.8,8.0,0.8,0.0,2,6,2,0.2,10,15,1.5,12.0,1.2,9.0,0.9,0.3,4,3,3,0.4,10,-0.30000000000000004,-0.3999999999999999,-0.09999999999999998,3,1,1,1,1.0,4.0,0.3333333333333333,1.3333333333333333,0.5,0.8,0,0,1,0.45,0.45,4,4,8,0,draw,1,2010-01-10,Angola,Mali,African Cup of Nations
1500,1665,-165,3165,24,2.4,21.0,2.1,7.0,0.7,1.4,7,3,0,0.7,10,17,1.7,14.0,1.4,16.0,1.6,-0.2,5,2,3,0.5,10,0.7,0.7000000000000002,-0.9000000000000001,10,4,5,1,17.0,10.0,1.7,1.0,0.65,0.8,0,0,0,0.3,0.45,0,0,0,0,draw,1,2010-01-11,Ivory Coast,Burkina Faso,African Cup of Nations
1500,1805,-305,3305,12,1.2,9.0,0.9,9.0,0.9,0.0,3,3,4,0.3,10,23,2.3,14.0,1.4,6.0,0.6,0.8,7,2,1,0.7,10,-1.0999999999999999,-0.4999999999999999,0.30000000000000004,0,0,0,0,0.0,0.0,,,0.5,0.8,0,0,1,0.45,0.45,3,0,3,3,home_win,0,2010-01-11,Malawi,Algeria,African Cup of Nations
1800,1765,35,3565,23,2.3,21.0,2.1,6.0,0.6,1.5,7,2,1,0.7,10,17,1.7,11.0,1.1,6.0,0.6,0.5,4,5,1,0.4,10,0.5999999999999999,1.0,0.0,4,0,2,2,2.0,4.0,0.5,1.0,0.25,0.8,0,0,1,0.45,0.45,3,1,4,2,home_win,0,2010-01-12,Egypt,Nigeria,African Cup of Nations
1500,1500,0,3000,15,1.5,6.0,0.6,8.0,0.8,-0.2,5,0,5,0.5,10,14,1.4,10.0,1.0,14.0,1.4,-0.4,4,2,4,0.4,10,0.10000000000000009,-0.4,-0.5999999999999999,0,0,0,0,0.0,0.0,,,0.5,0.8,0,0,1,0.45,0.45,2,2,4,0,draw,1,2010-01-12,Mozambique,Benin,African Cup of Nations
1725,1500,225,3225,20,2.0,15.0,1.5,5.0,0.5,1.0,6,2,2,0.6,10,17,1.7,16.0,1.6,11.0,1.1,0.5,5,2,3,0.5,10,0.30000000000000004,-0.10000000000000009,-0.6000000000000001,9,4,5,0,10.0,5.0,1.1111111111111112,0.5555555555555556,0.7222222222222222,0.8,0,0,1,0.45,0.45,0,1,1,-1,away_win,2,2010-01-13,Cameroon,Gabon,African Cup of Nations
1500,1790,-290,3290,23,2.3,21.0,2.1,6.0,0.6,1.5,7,2,1,0.7,10,15,1.5,12.0,1.2,7.0,0.7,0.5,4,3,3,0.4,10,0.7999999999999998,0.9000000000000001,-0.09999999999999998,9,2,2,5,9.0,15.0,1.0,1.6666666666666667,0.3333333333333333,0.8,0,0,1,0.45,0.45,1,1,2,0,draw,1,2010-01-13,Zambia,Tunisia,African Cup of Nations
1500,1500,0,3000,10,1.0,10.0,1.0,12.0,1.2,-0.2,1,7,2,0.1,10,15,1.5,12.0,1.2,8.0,0.8,0.4,4,3,3,0.4,10,-0.5,-0.19999999999999996,0.3999999999999999,5,2,1,2,8.0,5.0,1.6,1.0,0.5,0.8,0,0,1,0.45,0.45,2,0,2,2,home_win,0,2010-01-14,Angola,Malawi,African Cup of Nations
1500,1805,-305,3305,16,1.6,16.0,1.6,11.0,1.1,0.5,4,4,2,0.4,10,22,2.2,13.0,1.3,8.0,0.8,0.5,7,1,2,0.7,10,-0.6000000000000001,0.30000000000000004,0.30000000000000004,8,4,1,3,11.0,7.0,1.375,0.875,0.5625,0.8,0,0,1,0.45,0.45,0,1,1,-1,away_win,2,2010-01-14,Mali,Algeria,African Cup of Nations
1500,1500,0,3000,10,1.0,10.0,1.0,21.0,2.1,-1.1,3,1,6,0.3,10,6,0.6,8.0,0.8,18.0,1.8,-1.0,2,0,8,0.2,10,0.4,0.19999999999999996,0.30000000000000004,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.4,0.45,3,1,4,2,home_win,0,2010-01-15,Yemen,Kenya,Friendly
1500,1755,-255,3255,22,2.2,19.0,1.9,6.0,0.6,1.3,6,4,0,0.6,10,15,1.5,15.0,1.5,10.0,1.0,0.5,4,3,3,0.4,10,0.7000000000000002,0.3999999999999999,-0.4,7,3,2,2,9.0,8.0,1.2857142857142858,1.1428571428571428,0.5714285714285714,0.8,0,0,0,0.3,0.45,3,1,4,2,home_win,0,2010-01-15,Ivory Coast,Ghana,African Cup of Nations
1765,1500,265,3265,17,1.7,12.0,1.2,8.0,0.8,0.4,4,5,1,0.4,10,15,1.5,11.0,1.1,11.0,1.1,0.0,4,3,3,0.4,10,0.19999999999999996,0.09999999999999987,-0.30000000000000004,4,4,0,0,8.0,1.0,2.0,0.25,1.0,0.8,0,0,1,0.45,0.45,1,0,1,1,home_win,0,2010-01-16,Nigeria,Benin,African Cup of Nations
1800,1500,300,3300,23,2.3,21.0,2.1,7.0,0.7,1.4,7,2,1,0.7,10,16,1.6,7.0,0.7,8.0,0.8,-0.1,5,1,4,0.5,10,0.6999999999999997,1.4000000000000001,-0.10000000000000009,1,1,0,0,2.0,0.0,2.0,0.0,1.0,0.8,0,0,1,0.45,0.45,2,0,2,2,home_win,0,2010-01-16,Egypt,Mozambique,African Cup of Nations
1725,1500,225,3225,20,2.0,15.0,1.5,5.0,0.5,1.0,6,2,2,0.6,10,21,2.1,21.0,2.1,7.0,0.7,1.4,6,3,1,0.6,10,-0.10000000000000009,-0.6000000000000001,-0.19999999999999996,6,2,2,2,11.0,10.0,1.8333333333333333,1.6666666666666667,0.5,0.8,0,0,1,0.45,0.45,3,2,5,1,home_win,0,2010-01-17,Cameroon,Zambia,African Cup of Nations
1500,1790,-290,3290,17,1.7,16.0,1.6,11.0,1.1,0.5,5,2,3,0.5,10,13,1.3,11.0,1.1,7.0,0.7,0.4,3,4,3,0.3,10,0.3999999999999999,0.5,0.40000000000000013,4,0,2,2,4.0,10.0,1.0,2.5,0.25,0.8,0,0,1,0.45,0.45,0,0,0,0,draw,1,2010-01-17,Gabon,Tunisia,African Cup of Nations
1500,1500,0,3000,16,1.6,13.0,1.3,7.0,0.7,0.6,4,4,2,0.4,10,14,1.4,16.0,1.6,23.0,2.3,-0.7,4,2,4,0.4,10,0.20000000000000018,-0.30000000000000004,-1.5999999999999999,17,7,8,2,26.0,11.0,1.5294117647058822,0.6470588235294118,0.6470588235294118,0.5,0,0,1,0.4,0.4,1,0,1,1,home_win,0,2010-01-17,Thailand,Singapore,King's Cup
1500,1500,0,3000,16,1.6,12.0,1.2,13.0,1.3,-0.1,4,4,2,0.4,10,20,2.0,18.0,1.8,7.0,0.7,1.1,5,5,0,0.5,10,-0.3999999999999999,-0.6000000000000001,0.6000000000000001,4,0,0,4,2.0,15.0,0.5,3.75,0.0,0.75,0,0,1,0.4,0.4,1,2,3,-1,away_win,2,2010-01-17,Vietnam,China PR,AFC Asian Cup qualification
1500,1805,-305,3305,12,1.2,11.0,1.1,11.0,1.1,0.0,2,6,2,0.2,10,22,2.2,12.0,1.2,7.0,0.7,0.5,7,1,2,0.7,10,-1.0000000000000002,-0.09999999999999987,0.40000000000000013,5,1,3,1,7.0,7.0,1.4,1.4,0.5,0.8,0,0,1,0.45,0.45,0,0,0,0,draw,1,2010-01-18,Angola,Algeria,African Cup of Nations
1500,1875,-375,3375,14,1.4,12.0,1.2,13.0,1.3,-0.1,4,2,4,0.4,10,18,1.8,12.0,1.2,7.0,0.7,0.5,5,3,2,0.5,10,-0.40000000000000013,0.0,0.6000000000000001,2,0,0,2,0.0,3.0,0.0,1.5,0.0,0.3,0,0,0,0.9,0.4,0,2,2,-2,away_win,2,2010-01-18,Finland,South Korea,Friendly
1500,1500,0,3000,13,1.3,13.0,1.3,11.0,1.1,0.2,3,4,3,0.3,10,15,1.5,11.0,1.1,8.0,0.8,0.3,4,3,3,0.4,10,-0.19999999999999996,0.19999999999999996,0.30000000000000004,2,1,1,0,3.0,2.0,1.5,1.0,0.75,0.8,0,0,1,0.45,0.45,3,1,4,2,home_win,0,2010-01-18,Mali,Malawi,African Cup of Nations
1665,1755,-90,3420,17,1.7,14.0,1.4,16.0,1.6,-0.2,5,2,3,0.5,10,12,1.2,14.0,1.4,13.0,1.3,0.1,3,3,4,0.3,10,0.5,0.0,0.30000000000000004,7,4,0,3,8.0,8.0,1.1428571428571428,1.1428571428571428,0.5714285714285714,0.8,0,0,1,0.45,0.45,0,1,1,-1,away_win,2,2010-01-19,Burkina Faso,Ghana,African Cup of Nations
1500,1835,-335,3335,18,1.8,14.0,1.4,7.0,0.7,0.7,5,3,2,0.5,10,11,1.1,15.0,1.5,10.0,1.0,0.5,3,2,5,0.3,10,0.7,-0.10000000000000009,-0.30000000000000004,0,0,0,0,0.0,0.0,,,0.5,0.5,0,0,0,0.4,0.9,1,3,4,-2,away_win,2,2010-01-20,Thailand,Poland,King's Cup
1500,1810,-310,3310,13,1.3,13.0,1.3,12.0,1.2,0.1,4,1,5,0.4,10,16,1.6,12.0,1.2,7.0,0.7,0.5,5,1,4,0.5,10,-0.30000000000000004,0.10000000000000009,0.5,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.4,0.9,0,1,1,-1,away_win,2,2010-01-20,Oman,Sweden,Friendly
1500,1500,0,3000,13,1.3,13.0,1.3,16.0,1.6,-0.3,4,1,5,0.4,10,21,2.1,22.0,2.2,7.0,0.7,1.5,6,3,1,0.6,10,-0.8,-0.9000000000000001,0.9000000000000001,6,0,1,5,4.0,17.0,0.6666666666666666,2.8333333333333335,0.08333333333333333,0.75,0,0,1,0.4,0.4,3,0,3,3,home_win,0,2010-01-20,Yemen,Bahrain,AFC Asian Cup qualification
1800,1500,300,3300,25,2.5,20.0,2.0,4.0,0.4,1.6,8,1,1,0.8,10,15,1.5,10.0,1.0,10.0,1.0,0.0,4,3,3,0.4,10,1.0,1.0,-0.6,3,2,1,0,12.0,5.0,4.0,1.6666666666666667,0.8333333333333334,0.8,0,0,1,0.45,0.45,2,0,2,2,home_win,0,2010-01-20,Egypt,Benin,African Cup of Nations
1745,1735,10,3480,23,2.3,22.0,2.2,12.0,1.2,1.0,7,2,1,0.7,10,8,0.8,15.0,1.5,15.0,1.5,0.0,2,2,6,0.2,10,1.4999999999999998,0.7000000000000002,-0.30000000000000004,1,0,1,0,0.0,0.0,0.0,0.0,0.5,0.3,0,0,0,0.85,0.5,2,1,3,1,home_win,0,2010-01-20,Chile,Panama,Friendly
1765,1500,265,3265,19,1.9,13.0,1.3,8.0,0.8,0.5,5,4,1,0.5,10,13,1.3,6.0,0.6,10.0,1.0,-0.4,4,1,5,0.4,10,0.5999999999999999,0.7000000000000001,-0.19999999999999996,3,2,1,0,2.0,0.0,0.6666666666666666,0.0,0.8333333333333334,0.8,0,0,1,0.45,0.45,3,0,3,3,home_win,0,2010-01-20,Nigeria,Mozambique,African Cup of Nations
1725,1790,-65,3515,22,2.2,18.0,1.8,7.0,0.7,1.1,7,1,2,0.7,10,11,1.1,7.0,0.7,7.0,0.7,0.0,2,5,3,0.2,10,1.1,1.1,0.0,7,4,1,2,10.0,6.0,1.4285714285714286,0.8571428571428571,0.6428571428571429,0.8,0,0,1,0.45,0.45,2,2,4,0,draw,1,2010-01-21,Cameroon,Tunisia,African Cup of Nations
1500,1500,0,3000,17,1.7,13.0,1.3,8.0,0.8,0.5,5,2,3,0.5,10,18,1.8,21.0,2.1,10.0,1.0,1.1,5,3,2,0.5,10,-0.10000000000000009,-0.8,-0.19999999999999996,3,1,0,2,2.0,3.0,0.6666666666666666,1.0,0.3333333333333333,0.8,0,0,1,0.45,0.45,1,2,3,-1,away_win,2,2010-01-21,Gabon,Zambia,African Cup of Nations
1500,1875,-375,3375,15,1.5,16.0,1.6,13.0,1.3,0.3,4,3,3,0.4,10,18,1.8,13.0,1.3,7.0,0.7,0.6,5,3,2,0.5,10,-0.30000000000000004,0.30000000000000004,0.6000000000000001,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.9,0.4,0,1,1,-1,away_win,2,2010-01-22,Latvia,South Korea,Friendly
1835,1500,335,3335,11,1.1,8.0,0.8,11.0,1.1,-0.3,3,2,5,0.3,10,14,1.4,16.0,1.6,18.0,1.8,-0.2,4,2,4,0.4,10,-0.2999999999999998,-0.8,-0.7,0,0,0,0,0.0,0.0,,,0.5,0.5,0,0,0,0.9,0.4,6,1,7,5,home_win,0,2010-01-23,Poland,Singapore,King's Cup
1500,1810,-310,3310,16,1.6,12.0,1.2,7.0,0.7,0.5,4,4,2,0.4,10,18,1.8,13.0,1.3,7.0,0.7,0.6,6,0,4,0.6,10,-0.19999999999999996,-0.10000000000000009,0.0,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.4,0.9,1,1,2,0,draw,1,2010-01-23,Syria,Sweden,Friendly
1500,1500,0,3000,16,1.6,14.0,1.4,17.0,1.7,-0.3,5,1,4,0.5,10,18,1.8,19.0,1.9,10.0,1.0,0.9,6,0,4,0.6,10,-0.19999999999999996,-0.5,0.7,14,10,2,2,27.0,13.0,1.9285714285714286,0.9285714285714286,0.7857142857142857,0.3,0,0,0,0.3,0.5,1,3,4,-2,away_win,2,2010-01-23,United States,Honduras,Friendly
1500,1755,-255,3255,12,1.2,10.0,1.0,10.0,1.0,0.0,2,6,2,0.2,10,12,1.2,13.0,1.3,13.0,1.3,0.0,3,3,4,0.3,10,0.0,-0.30000000000000004,-0.30000000000000004,4,1,2,1,3.0,3.0,0.75,0.75,0.5,0.8,0,0,1,0.45,0.45,0,1,1,-1,away_win,2,2010-01-24,Angola,Ghana,African Cup of Nations
1500,1805,-305,3305,22,2.2,20.0,2.0,6.0,0.6,1.4,6,4,0,0.6,10,22,2.2,12.0,1.2,7.0,0.7,0.5,7,1,2,0.7,10,0.0,0.8,-0.09999999999999998,8,3,3,2,8.0,9.0,1.0,1.125,0.5625,0.8,0,0,0,0.3,0.45,2,3,5,-1,away_win,2,2010-01-24,Ivory Coast,Algeria,African Cup of Nations
1800,1725,75,3525,25,2.5,21.0,2.1,4.0,0.4,1.7,8,1,1,0.8,10,23,2.3,19.0,1.9,7.0,0.7,1.2,7,2,1,0.7,10,0.20000000000000018,0.20000000000000018,-0.29999999999999993,10,5,3,2,13.0,8.0,1.3,0.8,0.65,0.8,0,0,1,0.45,0.45,3,1,4,2,home_win,0,2010-01-25,Egypt,Cameroon,African Cup of Nations
1500,1765,-265,3265,21,2.1,22.0,2.2,8.0,0.8,1.4,6,3,1,0.6,10,21,2.1,16.0,1.6,8.0,0.8,0.8,6,3,1,0.6,10,0.0,0.6000000000000001,0.0,5,0,2,3,2.0,6.0,0.4,1.2,0.2,0.8,0,0,1,0.45,0.45,0,0,0,0,draw,1,2010-01-25,Zambia,Nigeria,African Cup of Nations
2070,1500,570,3570,15,1.5,13.0,1.3,15.0,1.5,-0.2,5,0,5,0.5,10,10,1.0,15.0,1.5,16.0,1.6,-0.1,2,4,4,0.2,10,0.5,-0.19999999999999996,-0.10000000000000009,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.85,0.5,3,2,5,1,home_win,0,2010-01-26,Argentina,Costa Rica,Friendly
1705,1500,205,3205,9,0.9,4.0,0.4,7.0,0.7,-0.3,2,3,5,0.2,10,12,1.2,13.0,1.3,21.0,2.1,-0.8,3,3,4,0.3,10,-0.29999999999999993,-0.9,-1.4000000000000001,11,5,2,4,12.0,11.0,1.0909090909090908,1.0,0.5454545454545454,0.3,0,0,1,0.45,0.45,3,0,3,3,home_win,0,2010-01-27,South Africa,Zimbabwe,Friendly
1755,1765,-10,3520,12,1.2,10.0,1.0,12.0,1.2,-0.2,3,3,4,0.3,10,21,2.1,15.0,1.5,7.0,0.7,0.8,6,3,1,0.6,10,-0.9000000000000001,-0.5,0.5,14,5,4,5,11.0,12.0,0.7857142857142857,0.8571428571428571,0.5,0.8,0,0,1,0.45,0.45,1,0,1,1,home_win,0,2010-01-28,Ghana,Nigeria,African Cup of Nations
1805,1800,5,3605,22,2.2,12.0,1.2,8.0,0.8,0.4,7,1,2,0.7,10,25,2.5,20.0,2.0,5.0,0.5,1.5,8,1,1,0.8,10,-0.2999999999999998,-0.8,0.30000000000000004,11,7,2,2,17.0,13.0,1.5454545454545454,1.1818181818181819,0.7272727272727273,0.8,0,0,1,0.45,0.45,0,4,4,-4,away_win,2,2010-01-28,Algeria,Egypt,African Cup of Nations
1765,1805,-40,3570,18,1.8,14.0,1.4,8.0,0.8,0.6,5,3,2,0.5,10,19,1.9,10.0,1.0,12.0,1.2,-0.2,6,1,3,0.6,10,-0.09999999999999987,0.3999999999999999,-0.3999999999999999,7,4,1,2,13.0,10.0,1.8571428571428572,1.4285714285714286,0.6428571428571429,0.8,0,0,1,0.45,0.45,1,0,1,1,home_win,0,2010-01-30,Nigeria,Algeria,African Cup of Nations
